image_path,latex
Images_trainData_2012_part2/TrainData1_5_sub_21.png,A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
Images_trainData_2012_part2/KME1G3_4_sub_21.png,A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
Images_trainData_2012_part2/TrainData1_7_sub_12.png,e = \sum^{\infty}_{k = 0} \frac{1}{k !}
Images_trainData_2012_part2/KME2G3_22_sub_81.png,\pi \int_c^d \{ g ( y ) \}^2 d y
Images_trainData_2012_part2/KME2G3_21_sub_28.png,z_1^2 + 1^z - z_2^2 + 2^z
Images_trainData_2012_part2/KME2G3_16_sub_35.png,\log_2 \frac 1 2 + \log_4 \frac 2 4
Images_trainData_2012_part2/TrainData1_2_sub_21.png,A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
Images_trainData_2012_part2/KME1G3_3_sub_21.png,A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
Images_trainData_2012_part2/TrainData1_0_sub_12.png,e = \sum^{\infty}_{k = 0} \frac{1}{k !}
Images_trainData_2012_part2/TrainData1_0_sub_5.png,e^{i \pi} + 1 = 0
Images_trainData_2012_part2/KME2G3_25_sub_81.png,\pi \int_c^d \{ g ( y ) \}^2 d y
Images_trainData_2012_part2/KME2G3_30_sub_65.png,[ \frac 2 3 x^{\frac 3 2} ]_0^1
Images_trainData_2012_part2/KME2G3_11_sub_35.png,\log_2 \frac 1 2 + \log_4 \frac 2 4
Images_trainData_2012_part2/KME2G3_26_sub_28.png,z_1^2 + 1^z - z_2^2 + 2^z
Images_trainData_2012_part2/formulaire001-equation070.png,$76 \pm ((41 + 118) \times 124) \times 130$
Images_trainData_2012_part2/formulaire002-equation051.png,$\frac1{n^{k+2}}$
Images_trainData_2012_part2/KME2G3_5_sub_95.png,\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
Images_trainData_2012_part2/KME2G3_24_sub_26.png,x_1 \times x_2 \times x_3 \times x_4 = X
Images_trainData_2012_part2/KME2G3_29_sub_38.png,\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
Images_trainData_2012_part2/formulaire004-equation013.png,$\theta + \pi$
Images_trainData_2012_part2/formulaire004-equation056.png,$y(\phi)$
Images_trainData_2012_part2/integral05.png,$ \lim_{n \rightarrow \infty} \frac{1}{n} \sum f ( \frac{r}{n} ) = \int_{0}^{1} f ( x ) dx $
Images_trainData_2012_part2/formulaire005-equation028.png,$x^{2} + 2x + 1 = 0$
Images_trainData_2012_part2/formulaire008-equation065.png,$(81 + (38 + 107)) \div 151 \leq 78$
Images_trainData_2012_part2/KME2G3_2_sub_95.png,\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
Images_trainData_2012_part2/KME2G3_23_sub_26.png,x_1 \times x_2 \times x_3 \times x_4 = X
Images_trainData_2012_part2/KME2G3_25_sub_65.png,[ \frac 2 3 x^{\frac 3 2} ]_0^1
Images_trainData_2012_part2/formulaire002-equation030.png,$24 / 125 = 0.19$
Images_trainData_2012_part2/KME2G3_30_sub_81.png,\pi \int_c^d \{ g ( y ) \}^2 d y
Images_trainData_2012_part2/formulaire001-equation011.png,$21-5\sqrt{21} + (15\sqrt{7}-21\sqrt{3})i$
Images_trainData_2012_part2/KME2G3_26_sub_74.png,\int_{\log 3}^0 \frac 1 {e^t + 1} d t
Images_trainData_2012_part2/formulaire008-equation041.png,$10^{-12}$
Images_trainData_2012_part2/KME2G3_22_sub_65.png,[ \frac 2 3 x^{\frac 3 2} ]_0^1
Images_trainData_2012_part2/KME2G3_9_sub_35.png,\log_2 \frac 1 2 + \log_4 \frac 2 4
Images_trainData_2012_part2/formulaire007-equation053.png,$\frac{1}{-1} = \frac{-1}{1}$
Images_trainData_2012_part2/formulaire007-equation016.png,$6a^2$
Images_trainData_2012_part2/KME2G3_21_sub_74.png,\int_{\log 3}^0 \frac 1 {e^t + 1} d t
Images_trainData_2012_part2/formulaire006-equation068.png,$y = \frac{1}{x}$
Images_trainData_2012_part2/formulaire004-equation037.png,"$x_0, y_0, z_0$"
Images_trainData_2012_part2/KME2G3_14_sub_22.png,x_x^x + y_y^y + z_z^z - x - y - z
Images_trainData_2012_part2/formulaire005-equation031.png,$\pm i a$
Images_trainData_2012_part2/KME2G3_20_sub_96.png,[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
Images_trainData_2012_part2/KME1G3_12_sub_21.png,A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
Images_trainData_2012_part2/TrainData1_7_sub_9.png,\sin^{2} \theta + \cos^{2} \theta = 1
Images_trainData_2012_part2/formulaire003-equation036.png,$\frac{4}{3}$
Images_trainData_2012_part2/formulaire003-equation073.png,$2^5+2+1$
Images_trainData_2012_part2/TrainData1_5_sub_1.png,\log_{2} 8 = 3
Images_trainData_2012_part2/KME2G3_13_sub_22.png,x_x^x + y_y^y + z_z^z - x - y - z
Images_trainData_2012_part2/KME2G3_27_sub_96.png,[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
Images_trainData_2012_part2/KME2G3_8_sub_28.png,z_1^2 + 1^z - z_2^2 + 2^z
Images_trainData_2012_part2/KME2G3_14_sub_65.png,[ \frac 2 3 x^{\frac 3 2} ]_0^1
Images_trainData_2012_part2/KME2G3_17_sub_74.png,\int_{\log 3}^0 \frac 1 {e^t + 1} d t
Images_trainData_2012_part2/KME1G3_10_sub_10.png,\int_a^b \frac {\sqrt x} 2 d x
Images_trainData_2012_part2/TrainData1_5_sub_3.png,x^{2} + y^{2} \lt 1
