image_path,latex
Images_train_InkML_2013/65_herbert.png,$x = r \cos \theta$
Images_train_InkML_2013/2009213-139-221.png,9
Images_train_InkML_2013/2009213-137-152.png,\frac { n } { \frac { \phi } { \mbox { s } } }
Images_train_InkML_2013/formulaire039-equation022.png,"$x_1, x_2$"
Images_train_InkML_2013/200924-1312-132.png,1
Images_train_InkML_2013/2009212-952-43.png,\frac { \pi r ^ 2 h } { 3 }
Images_train_InkML_2013/2009213-137-117.png,\frac { r } { \int \beta d \phi }
Images_train_InkML_2013/formulaire039-equation067.png,$a^{m}\times a^{n}=a^{m+n}$
Images_train_InkML_2013/200924-1312-177.png,{ \mbox { F } - \tan \mbox { c } }
Images_train_InkML_2013/200923-131-78.png,{ \cdots - 7 }
Images_train_InkML_2013/200923-1553-139.png,{ - { N X } }
Images_train_InkML_2013/2009210-947-44.png,\sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } }
Images_train_InkML_2013/TrainData1_5_sub_21.png,A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
Images_train_InkML_2013/2009210-947-124.png,{ \left ( { \mbox { B } } _ { \mbox { E } } \right ) } ^ { \mbox { j } }
Images_train_InkML_2013/KME1G3_4_sub_21.png,A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
Images_train_InkML_2013/TrainData2_19_sub_98.png,\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
Images_train_InkML_2013/formulaire010-equation061.png,$3a_1a_2a_3x^3 + 3a_1a_2^2 x^2 + 3a_1^2a_2 x + 3a_1a_2a_0 = 0$
Images_train_InkML_2013/2009210-947-161.png,{ \mbox { u } } _ { \mbox { A } }
Images_train_InkML_2013/200923-1553-67.png,\tan \left ( \frac { \pi } { 4 } \right ) = 1
Images_train_InkML_2013/MfrDB0605.png,$( {1^{3}} + 4 ) x + y$
Images_train_InkML_2013/formulaire008-equation058.png,$a_ns_1 + a_{n-1} = 0$
Images_train_InkML_2013/formulaire010-equation024.png,"$a_{1,j}$"
Images_train_InkML_2013/118_leo.png,$P(x) = \sum_{i=0}^{n} a_j x^j$
Images_train_InkML_2013/MfrDB3536.png,"$f ( x , y ) = \frac{x}{y} + x y$"
